año,camiones_furgonetas,autobuses,turismos,motocicletas,tractores_industriales,otros_vehiculos,combustible
1990,188475,2829,132346,0,8894,,GASOLINA
1991,171041,2937,114264,0,7097,,GASOLINA
1992,172109,2775,163676,0,5630,,GASOLINA
1993,121458,1915,167316,0,3077,,GASOLINA
1994,140737,1853,244732,0,4928,,GASOLINA
1995,155428,2547,284547,0,9563,,GASOLINA
1996,177042,2866,369333,0,9387,,GASOLINA
1997,214463,3371,467577,0,12494,,GASOLINA
1998,246433,3657,620172,0,14952,2352,GASOLINA
1999,293758,3877,766752,0,18389,2601,GASOLINA
2000,285319,3365,785193,0,19256,2691,GASOLINA
2001,266799,3503,779869,0,19026,2660,GASOLINA
2002,256936,3145,805226,0,18423,3045,GASOLINA
2003,289708,3290,899545,0,19781,3598,GASOLINA
2004,326777,3659,1075458,0,20618,3982,GASOLINA
2005,375821,4175,1133843,0,21326,5273,GASOLINA
2006,381421,3845,1141903,0,21088,6398,GASOLINA
2007,382672,4019,1137897,0,23180,6736,GASOLINA
2008,213334,3816,809875,71,16275,2962,GASOLINA
2009,131284,2883,672242,51,5745,2457,GASOLINA
2010,140829,2412,700190,49,7168,2816,GASOLINA
2011,128946,2564,567974,48,10668,2469,GASOLINA
2012,94763,1578,485043,38,9588,1720,GASOLINA
2013,94282,1653,499031,57,10481,1498,GASOLINA
2014,120089,2052,590152,142,14431,1718,GASOLINA
2015,154647,2864,693152,238,19990,2881,GASOLINA
2016,163443,3451,703727,259,20858,4097,GASOLINA
2017,177631,3672,672295,347,19734,6516,GASOLINA
2018,192968,3372,552507,283,17944,8385,GASOLINA
2019,180095,2999,449791,318,18510,10063,GASOLINA
2020,139130,1689,332482,225,16225,9442,GASOLINA
2021,149529,1539,282243,170,17345,10326,GASOLINA
2022,127957,2212,243750,79,19006,8928,GASOLINA
2023,158672,3682,213276,13,22029,8981,GASOLINA
2024,173287,3977,210461,98,24818,11354,GASOLINA
1990,188475,2829,132346,0,8894,,GASOIL
1991,171041,2937,114264,0,7097,,GASOIL
1992,172109,2775,163676,0,5630,,GASOIL
1993,121458,1915,167316,0,3077,,GASOIL
1994,140737,1853,244732,0,4928,,GASOIL
1995,155428,2547,284547,0,9563,,GASOIL
1996,177042,2866,369333,0,9387,,GASOIL
1997,214463,3371,467577,0,12494,,GASOIL
1998,246433,3657,620172,0,14952,2352,GASOIL
1999,293758,3877,766752,0,18389,2601,GASOIL
2000,285319,3365,785193,0,19256,2691,GASOIL
2001,266799,3503,779869,0,19026,2660,GASOIL
2002,256936,3145,805226,0,18423,3045,GASOIL
2003,289708,3290,899545,0,19781,3598,GASOIL
2004,326777,3659,1075458,0,20618,3982,GASOIL
2005,375821,4175,1133843,0,21326,5273,GASOIL
2006,381421,3845,1141903,0,21088,6398,GASOIL
2007,382672,4019,1137897,0,23180,6736,GASOIL
2008,213334,3816,809875,71,16275,2962,GASOIL
2009,131284,2883,672242,51,5745,2457,GASOIL
2010,140829,2412,700190,49,7168,2816,GASOIL
2011,128946,2564,567974,48,10668,2469,GASOIL
2012,94763,1578,485043,38,9588,1720,GASOIL
2013,94282,1653,499031,57,10481,1498,GASOIL
2014,120089,2052,590152,142,14431,1718,GASOIL
2015,154647,2864,693152,238,19990,2881,GASOIL
2016,163443,3451,703727,259,20858,4097,GASOIL
2017,177631,3672,672295,347,19734,6516,GASOIL
2018,192968,3372,552507,283,17944,8385,GASOIL
2019,180095,2999,449791,318,18510,10063,GASOIL
2020,139130,1689,332482,225,16225,9442,GASOIL
2021,149529,1539,282243,170,17345,10326,GASOIL
2022,127957,2212,243750,79,19006,8928,GASOIL
2023,158672,3682,213276,13,22029,8981,GASOIL
2024,173287,3977,210461,98,24818,11354,GASOIL
2005,188475,2829,132346,0,8894,,OTROS COMBUSTIBLES
2006,171041,2937,114264,0,7097,,OTROS COMBUSTIBLES
2007,172109,2775,163676,0,5630,,OTROS COMBUSTIBLES
2008,121458,1915,167316,0,3077,,OTROS COMBUSTIBLES
2009,140737,1853,244732,0,4928,,OTROS COMBUSTIBLES
2010,155428,2547,284547,0,9563,,OTROS COMBUSTIBLES
2011,177042,2866,369333,0,9387,,OTROS COMBUSTIBLES
2012,214463,3371,467577,0,12494,,OTROS COMBUSTIBLES
2013,246433,3657,620172,0,14952,2352,OTROS COMBUSTIBLES
2014,293758,3877,766752,0,18389,2601,OTROS COMBUSTIBLES
2015,285319,3365,785193,0,19256,2691,OTROS COMBUSTIBLES
2016,266799,3503,779869,0,19026,2660,OTROS COMBUSTIBLES
2017,256936,3145,805226,0,18423,3045,OTROS COMBUSTIBLES
2018,289708,3290,899545,0,19781,3598,OTROS COMBUSTIBLES
2019,326777,3659,1075458,0,20618,3982,OTROS COMBUSTIBLES
2020,375821,4175,1133843,0,21326,5273,OTROS COMBUSTIBLES
2021,381421,3845,1141903,0,21088,6398,OTROS COMBUSTIBLES
2022,382672,4019,1137897,0,23180,6736,OTROS COMBUSTIBLES
2023,213334,3816,809875,71,16275,2962,OTROS COMBUSTIBLES
2024,131284,2883,672242,51,5745,2457,OTROS COMBUSTIBLES
